1,McCain -3 for Kenndey comment #tweetdebate
1,McCain: this is the end of the beginning. huh? #tweetdebate
1,"McCain -1 avoiding the question? wait, waht was the question exactly.. #tweetdebate"
1,-1 Obama for breaking the debate rules and walking over the moderator. #tweetdebate
1,McCain -1 for evading question on what to cut #tweetdebate
1,McCain rehearsed soundbite: I have not been voted Ms Congeniality #tweetdebate
1,Why does McCain leep talking about Miss Congeniality when that's the title Sarah Palin won? #tweetdebate
1,-1 Obama initially off topic answering question on lessons of war  #tweetdebate
1,"Obama finally called him John, not Tom nor Jim... #tweetdebate"
1,"@barbaranixon I daresay at the current person in the highest elected office would at least look at him! And he doesn't do much, really."
1,"It must be really weird debating someone who will not look at you. Look at him, John!  #tweetdebate"
1,is this a debate or a campaign stop?       #tweetdebate
1,-2 Obama saying McCain is right too many times even if true   #tweetdebate
1,McCain -1 League of Extraordinary Countries (UN?) Obama +1 We strengthened Iran by taking our Iraq #tweetdebate #debate08
1,@gminks I want that League t-shirt. McCain is progressive as a 1950s thinker
1,"-3 for both of these babies! No debate, just talking down. #tweetdebate"
1,obama's thinking ' what an ahole with his stinking corpse remark' #tweetdebate
1,@current #current I know you know so much about Russia. After all its your VPs neighbor and she can see it from her front door after all..
1,"Isn't it past McCains bedtime? Maybe that's why he keeps telling these ""bedtime"" stories #current"
1,#current #tweetdebate Mc's dismissiveness makes him look stronger to the bully class
1,mccain is kiilin me with the stories #current
1,Less respected than four years ago - a major understatement! We don't even respect ourselves anymore! #current
1,"@alanbenson, agreed, this last question is a bit of a joke. #current"
1,"@litterthisheart #debate08 Has anyone else noticed that McCain hasn't defined what ""victory in Iraq"" entails? Warmonger."
1,I don't think either of these guys actually enjoy debating/disagreement/confrontation. McCain sounds strained. #current
1,"The man who selected Sarah Palin as his VP wants to talk about ""experience"" and ""judgment"". Judgment!  #current #debate"
1,"Mr. McCain knows the Veterans, but Mr. Obama you are no Veteran. To bad McCain votes against veterans at every chance #current #debate08"
1,"@gregmcneilly No Obama is just confused by McSames ignorance & duplicity. 
#current #debate08"
1,"If experience is what we've had for the last 8 years, I'll pass on it and take my chances.#current"
1,"Does voting against the GI bill count as taking care of veterans, John? #current"
1,I pretty much just feel depressed after this.  I wish this election could just get over with. #current
1,McCain plays the war hero card again!  #current
1,horrible dis to Obama mccain #current
1,"#current Too much Alien vs. Predator. ""Whoever wins, we all lose."""
1,"""there he goes again being a poor pitiful vet #current"""
1,there you go....I am a POW!! #current
1,"#current if McCain is so pro-veteran, why didn't he vote for the new G.I. Bill?"
1,"How appropriate: McCain is most qualified because he was once a Prisoner. Of War.  Noun, verb, etc. #current"
1,"@myentirename Yeah, never mention your African father if you want to be president. #current"
